"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
66;"U1104,U1103,U1102,U1101";"SOIC-8_3.9x4.9mm_P1.27mm";4;"MCP6L02x-xSN";;;
67;"U1001";"SOIC-16W_7.5x10.3mm_P1.27mm";1;"CY14B256PA";;;
68;"U903,U902,U901";"SMDIP-16_W9.53mm";3;"LTV-847S";;;
69;"U501";"RN4871U";1;"RN4871U-V_RM118";;;
70;"U303";"SMDIP-4_W9.53mm";1;"LTV-817S";;;
71;"U302";"SOP95P275X110-6N";1;"PRTR5V0U4D";;;
72;"U301";"SOIC-16W_7.5x10.3mm_P1.27mm";1;"ADUM3160";;;
73;"TP1604,TP1603,TP1602,TP1601,TP1001";"TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded";5;"TestPoint";;;
74;"S701,S301";"PTS636SK43SMTRLFS";2;"PTS636";;;
75;"RN301";"RESCAF80P320X160X60-8N";1;"CAY16-101J4LF";;;
76;"RN107,RN104,RN102";"RESCAF80P320X160X60-8N";3;"CAY16-330J4LF";;;
77;"R1714,R1005,R1003";"R_0603_1608Metric";3;"10k";;;
78;"R1712,R1708,R1706";"R_0603_1608Metric";3;"100k";;;
79;"R1711,R1710,R1705,R1704,R1703";"R_0603_1608Metric";5;"300 R";;;
80;"R1709";"R_0603_1608Metric";1;"402 R";;;
81;"R1707";"R_0603_1608Metric";1;"50k";;;
82;"R1701";"R_0805_2012Metric";1;"0 R";;;
83;"R1608";"R_0603_1608Metric";1;"187k";;;
84;"R1607";"R_0603_1608Metric";1;"1M65";;;
85;"R1604";"R_0603_1608Metric";1;"3k4";;;
86;"R1603";"R_0603_1608Metric";1;"2k15";;;
87;"R1601";"R_0603_1608Metric";1;"11k3";;;
88;"R1518,R305,R205";"R_1210_3225Metric";3;"0 R";;;
89;"R1510,R1509";"R_0603_1608Metric";2;"75 R";;;
90;"R1502,R1501";"C_0603_1608Metric";2;"300R";;;
91;"R1311,R1305,R1306";"R_0805_2012Metric";3;"5.1k";;;
92;"R1310";"R_0805_2012Metric";1;"0.75R";;;
93;"R1309,R1302";"R_0603_1608Metric";2;"270R";;;
94;"R1308";"R_0603_1608Metric";1;"510R";;;
95;"R1307";"R_0603_1608Metric";1;"2.37k";;;
96;"R1304";"R_0603_1608Metric";1;"5.6R";;;
97;"R1301,R1214,R1209,R1201,R206";"R_0603_1608Metric";5;"33R";;;
98;"R1222,R1208";"R_0603_1608Metric";2;"825 R";;;
99;"R1221,R1207";"R_0603_1608Metric";2;"3.79k";;;
100;"R1217";"R_0603_1608Metric";1;"9.42k";;;
101;"R1177,R1167,R1157,R1141,R1114";"R_0603_1608Metric";5;"200k";;;
102;"R1176,R1160";"R_0603_1608Metric";2;"2.1k";;;
103;"R1170,R1166";"R_0603_1608Metric";2;"1.24k";;;
104;"R1156,R1149,R1148,R1146";"R_0603_1608Metric";4;"137 R";;;
105;"R1155";"R_0603_1608Metric";1;"2.94k";;;
106;"R1147";"R_0603_1608Metric";1;"420R";;;
107;"R1144,R1138,R1132,R1129,R1117,R1111";"R_0603_1608Metric";6;"41.2 R";;;
108;"R1143,R1131,R1116";"R_0603_1608Metric";3;"800R";;;
109;"R1127,R1125,R1124,R1122,R1121,R1119";"R_0603_1608Metric";6;"160 R";;;
110;"R1126,R1123";"R_0603_1608Metric";2;"680R";;;
111;"R1120";"R_0603_1608Metric";1;"1.69k";;;
112;"R1105,R1102";"R_0603_1608Metric";2;"24.3 R";;;
113;"R1104";"R_0603_1608Metric";1;"976R";;;
114;"R1101";"R_0603_1608Metric";1;"29100 R";;;
115;"R1004";"R_0805_2012Metric";1;"510";;;
116;"R1002";"R_0805_2012Metric";1;"200";;;
117;"R1001";"R_0805_2012Metric";1;"0";;;
118;"R924,R920,R917,R916,R913,R912,R909,R908,R905,R904,R901,R921";"R_0603_1608Metric";12;"2.7k";;;
119;"R923,R922,R919,R918,R915,R914,R911,R910,R907,R906,R903,R902";"R_0805_2012Metric";12;"4.7k";;;
120;"R804,R803,R802,R801";"R_0805_2012Metric";4;"60";;;
121;"R702,R701";"R_0603_1608Metric";2;"127 R";;;
122;"R501";"R_0603_1608Metric";1;"300R";;;
123;"R401";"R_1210_3225Metric";1;"0";;;
124;"R309";"R_0603_1608Metric";1;"0 R";;;
125;"R308,R307";"R_0603_1608Metric";2;"3k3";;;
126;"R306";"R_0603_1608Metric";1;"50 R";;;
127;"R304,R303,R302,R301";"R_0603_1608Metric";4;"24 R";;;
128;"R209";"R_0603_1608Metric";1;"7.15k";;;
129;"R208";"R_0603_1608Metric";1;"33k";;;
130;"R204,R203,R202";"R_0603_1608Metric";3;"R";;;
131;"R201";"R_0603_1608Metric";1;"4 x 75 R";;;
132;"R102,R101";"R_0603_1608Metric";2;"0R";;;
133;"Q1706,Q1705,Q1703,Q1702,Q1701";"SOT-23";5;"MMBT3904";;;
134;"Q1704";"SOT-23";1;"RUC002N05HZGT116 ";;;
135;"PS201";"CUI_PDQE15-Q24-S24-D";1;"PDQE15-Q24-S24-D";;;
136;"K1302,K1301";"CPC1017N";2;"CPC1017NTR";;;
137;"JP1601";"R_0805_2012Metric";1;"Jumper";;;
138;"J1402";"Molex_528850474";1;"Molex_52885-0474";;;
139;"J601";"Molex_CMC_643330100_32+48+32pin";1;"MolexCMC_643330100";;;
140;"J303";"MOLEX_87832-1420";1;"87832-1420";;;
141;"J301";"Wurth_WR-WTB_61900519521_1x05_P2.54mm_Vertical";1;"WR-WTB_1x05";;;
142;"IC1302,IC1301,IC1601";"TSC2012IDT";3;"TSC2012IDT";;;
143;"FL1601";"WE-UCF_1712_16.6x12.5mm";1;"Wuerth_744290560";;;
144;"FB1603,FB201";"L_0805_2012Metric";2;"100R @ 100 MHz";;;
145;"FB301";"L_0603_1608Metric";1;"600R @ 100 MHz";;;
146;"D1602";"D_Powermite_AK";1;"MBRM120";;;
147;"D1601";"D_SMA_Small-Pads";1;"SMA4F31AY";;;
148;"D1203,D1202,D1201,D203,D1301";"SOT-23";5;"BAS21T-7-F";;;
149;"D1105,D1104,D1103,D1102,D1101";"SODFL1608X70N";5;"17 V Clamp";;;
150;"D1001";"D_SOD-323F";1;"D_Schottky_ALT";;;
151;"D802,D801";"SOT-323_SC-70";2;"VCAN16A2";;;
152;"D702,D701";"SODFL1608X70N";2;"3.3 V Working";;;
153;"C1616,C1615,C1614,C1613";"C_1210_3225Metric";4;"10u";;;
154;"C1612,C1611";"C_0603_1608Metric";2;"470n";;;
155;"C1610,C1605";"C_1210_3225Metric";2;"680n";;;
156;"C1609,C1604";"CP_Elec_8x11.9";2;"39u";;;
157;"C1608,C1607,C1603,C1602";"C_1206_3216Metric";4;"22u";;;
158;"C1606,C1601";"CP_Elec_8x11.9";2;"220u";;;
159;"C1519,C211";"C_1206_3216Metric";2;"1 nF, 2000 V";;;
160;"C1502,C1501";"C_0603_1608Metric";2;"22 pF";;;
161;"C1203,C1205";"C_0603_1608Metric";2;"1 µF";;;
162;"C1132,C1129,C1126,C1120,C1104";"C_0603_1608Metric";5;"30 nF";;;
163;"C1130,C1127,C1123,C1117,C1101";"C_0603_1608Metric";5;"56 nF";;;
164;"C1124";"C_0603_1608Metric";1;"82 nF";;;
165;"C1122";"C_0603_1608Metric";1;"500 nF";;;
166;"C1121,C1118,C1116,C1115,C1105";"C_0603_1608Metric";5;"330 nF";;;
167;"C1113,C1112,C1111,C1109,C502";"C_0603_1608Metric";5;"10 µF";;;
168;"C1106";"C_0603_1608Metric";1;"150 nF";;;
169;"C1102";"C_0603_1608Metric";1;"280 nF";;;
170;"C1004";"C_2312_6032-28_Metric";1;"68 uF";;;
171;"C1003";"C_0603_1608Metric";1;"68 pF";;;
172;"C1001";"C_0603_1608Metric";1;"12 pF";;;
173;"C802,C801";"C_0603_1608Metric";2;"C_term";;;
174;"C402";"C_0805_2012Metric";1;"22 µF";;;
175;"C210";"CP_Elec_Wurth_WCAP-ASLL_8.3x8.3mm";1;"100 μF";;;
176;"C209";"C_1206_3216Metric";1;"4.7 µF";;;
177;"C208";"CP_Elec_Wurth_WCAP-PSLP_6.6x6.6mm";1;"47 µF";;;
178;"C207";"C_1206_3216Metric";1;"1µF";;;
179;"C206,C205";"C_0603_1608Metric";2;"C";;;
180;"C204";"C_0603_1608Metric";1;"22 nF, 100 V";;;
181;"C203";"C_0603_1608Metric";1;"4 x 22 nF, 100 V";;;
182;"BT1001";"Battery_VL2020_20x3.2mm";1;"Battery_Cell";;;
183;"A301";"JTAG-SMT3-NC";1;"JTAG-SMT3-NC";;;
184;"R1610";"R_Shunt_Ohmite_LVK12";1;"0.01 R";;;
185;"F601,F602,F603";"Littlefuse_Nano_Clip";3;"10A";;;
186;"F1601,F1602";"Littlefuse_Nano_Clip";2;"5A";;;
187;"F1603";"Littlefuse_Nano_Clip";1;"7A";;;
188;"R1220";"R_0603_1608Metric";1;"2.05k";;;
189;"R1602";"R_0603_1608Metric";1;"10k7";;;
